""	0
Bruce Dickinson	2265
Bruins' backcourt	2266
Bryan McClendon	2267
Bryan McClendon and Amber Arnold	2268
Bryant	2269
Bryn Mawr College	2270
Buc	2271
Bucknell	2272
Bucknell University	2273
Bucky Pizzarelli	2274
Budapest Festival Orchestra	2275
Buddy Holly	2276
Buffalo Bills	2277
Buffalo Bills kicking specialists	2278
Buffalo Bills special teams	2279
Buffalo Bills' AFL championship teams	2280
Buffalo Bisons	2281
Buffaloes	2282
Bulawayo	2283
Bulldogs' 2002 SEC Championship team	2284
Bulldogs' 2005 Sugar Bowl team	2285
Bullet from attempted assassination	2286
Bupa	2287
Burbank	2288
Burberry	2289
Burkeauskas	2290
Burmese	2291
Burnley in 1870	2292
Burton Albion	2293
Bury the Hatchet	2294
Bush Theatre in London	2295
By 1973	2296
By summer 2000	2297
Bye Bye Birdie	2298
C. B. Fry	2299
C. V. Ananda Bose	2300
C.V. Ananda Bose	2301
CBC Radio	2302
CBC Radio science program "Quirks and Quarks"	2303
CBC Radio shows	2304
CBS	2305
CBS Schoolbreak Special	2306
CBS drama	2307
CBS drama Blue Bloods	2308
CBS sitcom	2309
CBS soap opera The Young and the Restless	2310
CBS television series The Rifleman	2311
CEO of Roll International Corporation	2312
CIV Superbike Championship	2313
CMJ	2314
CNBC	2315
CNBC anchorman	2316
CNBC host	2317
Caitlin O'Heaney	2318
Cal Collins	2319
Calgary	2320
California	2321
California Institute of Technology	2322
California Mr. Basketball in 1952	2323
California State Assembly	2324
California primary election for Democratic nomination for President of the United States	2325
Cambridge edition of Shakespeare	2326
Camp landing strip	2327
Camp location	2328
Campaigns led by Emperor Wenxuan of Northern Qi against Northern Zhou	2329
Campaigns led by Thutmose III into Nubia	2330
Campo de Criptana	2331
Campy Russell	2332
Can-Can	2333
Canada	2334
Canada West	2335
Canadian	2336
Canadian Armed Forces	2337
Canadian Association of University Teachers	2338
Canadian Brass	2339
Canadian Commission on the Future of Higher Education	2340
Canadian Forces	2341
Canadian Forces during the Battle of Panjwaii	2342
Canadian Forces in Afghanistan	2343
Canadian Forces operations in Kandahar region	2344
Canadian House of Commons	2345
Canadian House of Commons seat	2346
Canadian actor	2347
Canadian citizen	2348
Canadian competitive swimmer	2349
Canadian educator	2350
Canadian government	2351
Canadian guitarist	2352
Canadian illustrator	2353
Canadian politician	2354
Canadian railway executive	2355
Canadian singer-songwriter	2356
Capital Shakers	2357
Captain Alfred E. Hunt	2358
Cardiff City	2359
Caribbean region's most successful swimmer	2360
Carl Guldager	2361
Carl Stumpf	2362
Carl Theodor Dreyer	2363
Carlos Arniches	2364
Carlos Arniches y Barrera	2365
Carlos Arniches's social dramas	2366
Carlton	2367
Carlton Communications	2368
Carlton after 1951 season	2369
Carlton club secretary	2370
Carlton in 1945	2371
Carlton in 1947	2372
Carlton vice-president	2373
Carlton's Best and Fairest Medal with Ern Henfry	2374
Carlton's inaugural Brownlow Medal winner	2375
Carlton's official 'Team of the Century' as centre half back	2376
Carnegie	2377
Carnegie Hall	2378
Carnegie Institute of Technology	2379
Carnegie Mellon University	2380
Carnegie Museums of Pittsburgh	2381
Carnoustie Panmure	2382
Carol Huston	2383
Carole Anne-Marie Gist	2384
Carole Gist	2385
Carolina Algonquian language	2386
Caroline Russell	2387
Carroll Decamp	2388
Carter Henry Harrison I	2389
Carter Henry Harrison II	2390
Carter Henry Harrison Sr.	2391
Casey Konstantin Serin	2392
Casey Konstantin Serin "poster child for everything that went wrong in the real estate boom"	2393
Casey Serin	2394
Casey Serin's blog	2395
Casey Serin's financial struggles	2396
Casey Serin's personal life	2397
Casey Williams	2398
Caspar David Friedrich	2399
Castile-La Mancha	2400
Casualty	2401
Catania	2402
Catch Me If You Can	2403
Cathedral	2404
Catherine	2405
Catherine Johnson	2406
Catherine Johnson Award	2407
Catherine Johnson Award in 2007	2408
Catherine Nicholson Mackinnon	2409
Catholic	2410
Catholic parish of St. Mary Magdalene in St. Louis	2411
Catholic schools	2412
Cathy Horyn of The New York Times	2413
Cattle herding	2414
Caulfield	2415
Cece Peniston	2416
Cecil Beaton	2417
Celtic	2418
Celtic first team	2419
Celtic manager	2420
Celtic starting place over next few years	2421
Central Bank of Iceland	2422
Central Board of Directors of the Reserve Bank of India	2423
Central Catholic High School	2424
Central Catholic High School in Pittsburgh	2425
Central Coast Mariners	2426
Central Coast Mariners team	2427
Central Coast Mariners that won APL Championship 2005	2428
Central Florida	2429
Central Philharmonic	2430
Central Saint Martins Academy in London	2431
Central Saint Martins College of Art and Design	2432
Central Television	2433
Centre d'Art in Port-au-Prince	2434
Centre for Advanced Studies in Botany at the University of Calicut	2435
Ceramic material	2436
Cervantes's great novel	2437
Cessnock Correctional Centre	2438
Chad Brown	2439
Chair of the Salters' Institute Board	2440
Chairman and Managing Director of the State Bank of India	2441
Chairman of the District Policing Partnership	2442
Chairman of the Pakistan-China Institute	2443
Chairman of the Senate Standing Committee on Foreign Affairs	2444
Chaka Khan	2445
Championship	2446
Chancer	2447
Chantilly	2448
Chapin School in New York City	2449
Charges	2450
Charles Baudelaire	2451
Charles Dullin	2452
Charles Lee	2453
Charles Lee returning as assistant men’s basketball coach	2454
Charles Martin Hall	2455
Charles Maurice de Talleyrand-Périgord	2456
Charles Melville Hays	2457
Charles de Gaulle	2458
Charlie Absolom	2459
Charlie Byrd	2460
Charlie Griffith	2461
Charlie Haden	2462
Charlie Parker	2463
Charlie's Angels	2464
Charlie’s Angels	2465
Charlotte Amelia	2466
Charlotte Rae	2467
Charlotte Rae Lubotsky	2468
Charlottetown	2469
Charlottetown in 1897	2470
Chaz Oldham	2471
Check It Out!	2472
Cheers	2473
Chennai Super Kings	2474
Chicago	2475
Chicago Bears	2476
Chicago Cubs	2477
Chicago Daily News	2478
Chicago Symphony Orchestra	2479
Chicago White Sox	2480
Chicago White Stockings	2481
Chicago pioneer	2482
Chief Baseball Officer for the Arizona Diamondbacks	2483
Chief Conductor of the National Symphony Orchestra of Ukraine	2484
Chief Operating Officer of the PGA Tour	2485
Chief of the Air Staff	2486
Childhood osteomyelitis	2487
Children's book	2488
Chilliwack	2489
Chilliwack dairy	2490
Chilliwack-Hope	2491
Chilliwack-Sumas	2492
Chinatsu Tsuboi	2493
Chinese American	2494
Chip's "Transition"	2495
Chogyal (king) of Sikkim	2496
Choi Jae-bong	2497
Chris Conway	2498
Chris Diken	2499
Chris Farlowe	2500
Chris Gardocki	2501
Chris Mullin	2502
Chris Ousey	2503
Chris Ward	2504
Christian August Lorentzen	2505
Christian Dior	2506
Christian Heinrich Pander	2507
Christian missionary pilot	2508
Christians	2509
Christine Sophia Burgraf	2510
Christopher Nutter and Dorothy (formerly Banister)	2511
Chronicle of a Blood Merchant	2512
Chrysler Viper GTS-R	2513
Chu much stronger	2514
Chu's agricultural output	2515
Chu's economy	2516
Chu's territory	2517
Chuck Berry	2518
Chuck Hinton	2519
Chuckles	2520
Chung-Ang University	2521
Church of Ireland	2522
Church of Ireland Archbishop of Tuam	2523
Château Laurier	2524
Château de Vert-Cœur	2525
Chūtai	2526
Chūtai leader	2527
Cicero Hunt Lewis	2528
Cicero Hunt Lewis and Lucius Allen	2529
Cilla Black	2530
Cimetière de Pantin	2531
Cincinnati Red Stockings	2532
Cincinnati Red Stockings (AA)	2533
Cincinnati Reds	2534
Cindy Kleine	2535
Cindy Kleine's films	2536
Cindy Kleine's parents' marriage	2537
City of Jesolo Trophy	2538
Ciudad Real	2539
Civic Choice	2540
Claims	2541
Claire Whitney	2542
Clapp & Jones	2543
Clapp Hall	2544
Clapp Hall dormitory	2545
Clapp Memorial Library	2546
Clara Bow	2547
Clare Waight Keller	2548
Clark Gable	2549
Clarkson Golden Knights	2550
Clarkson Golden Knights to NCAA tournament appearance	2551
Clarkson Golden Knights to most recent conference championship	2552
Clarkson as power in ECAC Hockey	2553
Claus Ogerman	2554
Clause "the Prince of Monaco should return to his estates"	2555
Clay W. Timpner	2556
Clay timpani	2557
Clementine Couch	2558
Clemson	2559
Cleveland Browns	2560
Cleveland Indians	2561
Cleveland Orchestra	2562
Cleveland State University	2563
Cleveland State's College of Science	2564
Clinton King	2565
Clowntown City Limits	2566
Clyde	2567
Clydebank	2568
Co-operation Ireland	2569
Co-operative Party	2570
Coca-Cola	2571
Colette	2572
Colin Atkinson	2573
Collector	2574
College Football Hall of Fame	2575
College of Physicians	2576
College of William and Mary	2577
Collingwood Football Club	2578
Collingwood team of the century	2579
Collingwood's "Machine" teams	2580
Collingwood's best and fairest award	2581
Colombey-les-Deux-Églises	2582
Colonial President Gregory Dexter	2583
Colours	2584
Colts teams that won Super Bowl	2585
Columbia College	2586
Columbia University	2587
Comedy group 2 Headed Dog	2588
Commander-in-Chief	2589
Commander-in-Chief of the British forces in North America	2590
Commander-in-Chief of the Navy	2591
Commentaries on Malayalam names of plants	2592
Commissioner of Golf's PGA Tour	2593
Commissioner on Parliamentary Standards	2594
Commons Defence Select Committee	2595
Commonwealth anti-apartheid sanction	2596
Communist Party of America	2597
Communist activist	2598
Communist magazine	2599
Companion cavalry	2600
Competition	2601
Comédie Française	2602
Congress of Vienna	2603
Congressional Cemetery	2604
Connecticut Defenders and Fresno Grizzlies	2605
Connie Mack	2606
Conservative	2607
Conservative Caucus in Washington D.C.	2608
Conservative Party	2609
Conservative and New England party members	2610
Constituent Assembly of India	2611
Consultation paper by TRAI	2612
Continental Basketball Association	2613
Continental Congress	2614
Controller of Drama at Central Television	2615
Controversy	2616
Copeland Trophy	2617
Copenhagen	2618
Corinthians	2619
Corona del Mar High School	2620
Coronation of King Adolf of Germany	2621
Correct scientific identity of all plants	2622
Correct taxonomic identity of many plants listed in Hortus Malabaricus	2623
Cosmopolitan	2624
Council of Europe	2625
Council of the Royal Society of Chemistry	2626
Country Music Television	2627
Court of Common Pleas	2628
Courtney	2629
Courts	2630
Coventry City	2631
Coventry City in 1997 FA Cup Final	2632
Coyote Ugly	2633
Cradle of Filth	2634
Craig Anton	2635
Cranberries' veteran producer	2636
Crass	2637
Crass Records	2638
Crass band's engineer and financial manager	2639
Crass band's ninth member	2640
Creating "Catweazle"	2641
Creation Magazine	2642
Creative Director for Givenchy women's haute couture and ready-to-wear lines	2643
Creative Director of Givenchy	2644
Critics	2645
Critics' Circle Award for Most Promising Playwright	2646
Croatia were suspended	2647
Croatian	2648
Cubism	2649
Cultural Revolution during 1960s	2650
Cumulus Media Networks	2651
Cwmaman	2652
Cynon Valley	2653
D'Angelo	2654
D'Angelo and The Vanguard	2655
D.O.C. Leipzig	2656
D.Phil. in 1971	2657
DJ Shockley	2658
DPGTWU	2659
Daily Express	2660
Daily News	2661
Dalai Lama	2662
Dalhousie Law School from 1885 to 1887	2663
Damian Genuardi	2664
Dan Marino	2665
Dan Marino at Central Catholic High School	2666
Dan Stearns	2667
Dan Stearns' songwriting style	2668
Dananjaya	2669
Dananjaya be fast-tracked into national squad	2670
Dananjaya's selection	2671
Dananjaya's stock off-spinner	2672
Daniel Eckford Stearns	2673
Daniel Eckford Stearns and Cincinnati Red Stockings teammates	2674
Daniel Ménard	2675
Daniel Ménard was arrested on weapons charges	2676
Daniel Ménard's arrest is due to a simple misunderstanding	2677
Daniel Ménard's replacement and demotion	2678
Danny Michel	2679
Danny Smith	2680
Danny Smith and Elaine	2681
Danny Smith's high school alma mater	2682
Danny Smith's special teams units	2683
Dara Grace Torres	2684
Darius III of Persia	2685
Darren White	2686
Darwin services competition	2687
Date of death of Nate Saint and other missionaries	2688
Datuk Seri Reezal Merican bin Naina Merican	2689
Davao City	2690
Davao Port General & Transport Worker's Union	2691
Dave Brubeck	2692
Dave Gruber Allen	2693
Dave Robinson	2694
Dave Stryker	2695
David "Dave" J. Kappos	2696
David Collings	2697
David Frost's production company	2698
David Halliday	2699
David Kappos	2700
David Kappos in IBM role	2701
David King	2702
David Mamet	2703
David Nutter	2704
David Ragsdale	2705
Davisson-Germer experiment	2706
Davy Medal	2707
Dawes	2708
Dawn Landes	2709
Dawn Landes & The Hounds	2710
Dawn's Music	2711
Dean of All India Institute of Medical Sciences	2712
Dean of Clonfert	2713
Dean of the Graduate School of Library Science at the University of Chicago	2714
Deane Beman	2715
Deborah Oluwaseyi Joshua	2716
Deborah Smith	2717
Decatur Commodores	2718
Decca label	2719
December 14	2720
December 1993	2721
December 1995	2722
December 2009	2723
Declan Mulligan	2724
Declaration of Independence	2725
Deed for awarding VC	2726
Deer Tick	2727
Defence Research and Development Organisation	2728
Defence Select Committee	2729
Defensive line	2730
Deguello	2731
Del in Del-Rob Farm	2732
Delegation for Relations with the Palestinian Legislative Council	2733
Delegation for Relations with the United States	2734
Delia Dennig Hubbard	2735
Delphine	2736
Democrat	2737
Democrat to the Fifty-fifth Congress	2738
Democrat to the Forty-fifth Congress	2739
Democrat to the Forty-fourth Congress	2740
Democratic	2741
Democratic Committeeman for St. Louis' 14th Ward	2742
Democratic National Committee	2743
Democratic National Convention	2744
Democratic Party	2745
Democratic nomination for President of the United States	2746
Democratic nomination for presidency after Robert Francis "Bobby" Kennedy	2747
Democratic ticket 1896	2748
Democratic vice presidential nominee in 1896	2749
Democratic-Republican to the Seventeenth Congress	2750
Denise Emerson	2751
Dennis Locorriere	2752
Dennis Noday	2753
Denny Shute in final match of 1938 PGA Championship	2754
Department of Computer Science	2755
Department of Health	2756
Departures	2757
Deputy Advisor to the President in the Office of Economic Affairs	2758
Deputy Chairman of the Agriculture Committee	2759
Deputy Chief of the Air Staff	2760
Deputy Commissioner of the PGA Tour	2761
Deputy Governor of the Colony of Rhode Island and Providence Plantations	2762
Deputy Inspector General	2763
Deputy Minister of Youth and Sports	2764
Deputy Minister of Youth and Sports appointment	2765
Deputy Prime Minister	2766
Deputy Speaker of the Northern Ireland Assembly in 2011	2767
Deputy Superintendent of Police	2768
Deputy Supreme Allied Commander in Europe	2769
Deputy Supreme Commander at Supreme Headquarters Allied Expeditionary Force	2770
Derby	2771
Derby County	2772
Derbyshire	2773
Derbyshire first-ever county match	2774
Derbyshire in 1871 season	2775
Derbyshire team in first match May 1871	2776
Derbyshire vs Lancashire 1871 season	2777
Derek King	2778
Derek Warfield	2779
Design Istituto d'Arte Applicata in Cantu	2780
Design for Liberty	2781
Destroyed school records	2782
Detroit Free Press Player of the Year in 2000	2783
Detroit Lions	2784
Detroit News All-State Dream Team in 2000	2785
Detroit News All-State Dream Team in 2001	2786
Detroit Pershing High School	2787
Detroit Pistons	2788
Detroit Pistons summer leagues	2789
Detroit Wolverines	2790
Detroit in 1952 NFL Draft	2791
Detroit native	2792
Deva	2793
Devonian geological strata of Baltic regions	2794
Dewan Rakyat	2795
Dewitt Clinton Clapp	2796
Dharma & Greg	2797
Dhenkanal	2798
Dhenkanal constituency of Odisha	2799
Dietrich	2800
Diff'rent Strokes	2801
Digging to China	2802
Dimond Boulevard	2803
Dior	2804
Diploma of Law	2805
Diplomatic missions abroad	2806
Diplomats who issued visas	2807
Director of Jazz Studies	2808
Director of Player Personnel for the Chicago Bears	2809
Director of Player Personnel for the Chicago Bears from 1979 to 1987	2810
Director of the United States Patent and Trademark Office	2811
Dirty Projectors	2812
District Judge for the 3rd Division of Alaska	2813
District Tourism Promotion Council	2814
District Tourism Promotion Council in Kollam district	2815
District Tourism Promotion Councils	2816
Division 4	2817
Division III program	2818
Dixie Dregs	2819
Dizzy Gillespie	2820
Doctor Who	2821
Dolores O'Riordan	2822
Dolores O'Riordan's solo material	2823
Dom Um Romão	2824
Don Caballero	2825
Don Camillo e l'onorevole Peppone	2826
Don Diablo	2827
Don Diablo and Dragonette	2828
Don Giovanni in Sicily	2829
Don Knotts	2830
Don R. Swanson	2831
Don R. Swanson's particular method	2832
Don't Wait Up	2833
Donald Alexander Mackinnon	2834
Donald Farquharson	2835
Donna Karan's 2012 Spring Collection	2836
Dorothy M. Smith	2837
Doug Henwood	2838
Doug Moran National Portrait Prize	2839
Doug Paisley	2840
Doug Wright	2841
Down syndrome	2842
Dr. Bose	2843
Dr. Henry Revell Reynolds	2844
Dr. Izawa and Professor Hata	2845
Dr. Jack Martin	2846
Dr. Marshall Hall	2847
Dr. Ravi Kapoor	2848
Dragonette	2849
Dragonfly	2850
Drepung Monastery	2851
Drive	2852
Drummer	2853
Dry goods and grocery store	2854
Drypetis	2855
Drypetis to Hephaestion	2856
Du Plooy	2857
Dubious nature of Serin's real estate transactions	2858
Dublin	2859
Duchess Mazarin	2860
Duchess of Aumont	2861
Duchess of La Meilleraye	2862
Duff Green	2863
Duke University	2864
Duke of Valentinois	2865
Duke of Westminster's Medal for Military Literature	2866
Dulo	2867
Duncan Mackay	2868
Dundee	2869
Dundee United	2870
Dune	2871
Durban High School	2872
Durham	2873
Dusty's Trail	2874
Dutch DJ and producer	2875
Dutch Golden Age	2876
Dwyane Wade	2877
E. R. Eddison	2878
ECAC Hockey Conference	2879
EMI	2880
ESPN's Sunday NFL Countdown	2881
ESPN's programming by 2008	2882
EWE Baskets Oldenburg	2883
Eagles	2884
Eagles' reigning staff ace	2885
East Africa	2886
East Antrim	2887
East Antrim in the Westminster Parliament	2888
East Asia	2889
East Germany	2890
East Queen's	2891
East of England	2892
EastEnders	2893
Eastern Suburbs Roosters	2894
Eastern Suburbs Roosters in 1989	2895
Eastern Wei	2896
Eastern Wei's paramount general	2897
Eastern banker	2898
Ecbatana	2899
Ecuador	2900
Ed Asner	2901
Ed Bickert	2902
Ed McCully	2903
Ed Tuton	2904
Eddie Gomez	2905
Eden Natan-Zada	2906
Eden Natan-Zada's pocket	2907
Edinboro State	2908
Edinburgh University	2909
Edmonton	2910
Edmonton Oilers	2911
Edmonton Public School Board	2912
Edmonton town politics	2913
Edmonton's first town council	2914
Edmund Burke	2915
Edmund Husserl	2916
Edna Garrett	2917
Edu Lobo	2918
Edward "Raven" Heaton	2919
Edward Hopper	2920
Edward Sexton	2921
Edward Synge	2922
Edward Synge (Bishop of Elphin)	2923
Edward Synge's dynasty	2924
Edward Synge's library	2925
Edward Synge's works	2926
Effort by Kattungal Subramaniam Manilal	2927
Efforts to evangelize Huaorani people	2928
Egypt as medical officer	2929
Egypt's army	2930
Eight properties	2931
Eight-Hour Law	2932
Eiji Sawamura Award	2933
El Hefe	2934
El cabo primero	2935
El Último Cuplé	2936
Elaine	2937
Eleanor Arnason	2938
Eleanor Arnason's work	2939
Eleanor Atwood Arnason	2940
Eleanor Atwood Arnason's fiction	2941
Eleanor Atwood Arnason's work	2942
Election	2943
Electra Glide in Blue	2944
Electric Package	2945
Elektra Records	2946
Eleni	2947
Elephant Sighs	2948
Elijah Cushing	2949
Elijah Wood	2950
Elisha Brown	2951
Elisha Brown Jr.	2952
Elisha Brown Sr.	2953
Elizabeth Allen	2954
Elizabeth Wicken	2955
Elizabethan theatre	2956
Elizeth Cardoso	2957
Elkanah Billings	2958
Elks	2959
Elliott Cresson Medal	2960
Elton John	2961
Elvis Costello	2962
Emanuel Swedenborg	2963
Emeritus Member of Transportation Research Board Committee on Transportation in the Developing Countries	2964
Emeritus Professor of Chemistry at the University of York	2965
Emeritus of the University of Calicut	2966
Emily Gielnik	2967
Emmett Keane	2968
Emotionally disturbed man	2969
Emperor Henry VI	2970
Emperor Wenxuan of Northern Qi	2971
Emperor Xiaojing of Eastern Wei to yield the throne	2972
Enabler	2973
England	2974
England at all ages from U15s to U18s	2975
England full national team while at Celtic	2976
England squad that won 2017 Rugby League World Cup	2977
England under-21s	2978
English	2979
English Championship	2980
English League One	2981
English actor	2982
English actor Jamie Bell	2983
English and American literature	2984
English astronomer	2985
English cricketer	2986
English edition	2987
English edition of Hortus Malabaricus	2988
English industrialist	2989
English umpires	2990
English-only movement	2991
Ensign	2992
Entire text of Hortus Malabaricus	2993
Eric Clapton	2994
Eric Koyanagi	2995
Eric Koyanagi's "Hundred Percent"	2996
Eric Martin	2997
Eric Melvin	2998
Erik Sandin	2999
Erik Satie	3000
Erin	3001
Ern Henfry	3002
Ernest Jones	3003
Ernest Jones was throwing in 1896 England tour	3004
Ernest Miller	3005
Ernest Miller's camera work at Iverson	3006
Ernest Pacaud	3007
Ernest Rides Again	3008
Ernst Troeltsch	3009
Erratic behavior of Emperor Wenxuan of Northern Qi	3010
Escadrille 67	3011
Escadrille N12	3012
Escadrille SPA154	3013
Escadrille SPA31	3014
Escambia County	3015
Essendon Lions	3016
Estelle Merle O'Brien Thompson	3017
Esumi	3018
Ethel Maria Fox Russell	3019
Eton College	3020
Eumir Deodato	3021
Euro F3000	3022
Europe	3023
European Anti-Fraud Office	3024
European Commissioner	3025
European Cup Winners' Cup in 1963	3026
European Le Mans Series	3027
European Le Mans Series championship	3028
European Le Mans Series in 2003	3029
European Parliament Committee on Foreign Affairs	3030
European Parliament Subcommittee on Human Rights	3031
European Parliament delegation to United Nations General Assembly	3032
European Superstock 600 Championship	3033
Euston Films	3034
Eva Shively	3035
Evan Rachel Wood	3036
Evan Rachel Wood and Jamie Bell	3037
Evangeline Walton	3038
Evening Standard Award for Most Promising Playwright	3039
Ever After	3040
Every Seven Years	3041
Everybody Hates Chris	3042
Everything Gone Green	3043
Executive Director	3044
Executive Vice President for MLB Operations	3045
Exhortation to frequent communion	3046
Exit	3047
Expedition led by Thomas Harriot	3048
Exposure to various musical genres while a child	3049
FA Cup in 1962	3050
FBI agent	3051
FC Kansas City	3052
FC Lorient	3053
FIA Formula 3000 Championship	3054
FIA GT Championship	3055
FIA GT Championship in 2003	3056
FIA GT drivers' title in 2007	3057
FIFPro World XI	3058
FIM Superbike World Championship	3059
FIM Superstock 1000 Championship	3060
FIM Superstock 1000 Championship twice	3061
FIM Superstock 1000 Cup	3062
FIM Superstock 1000 Cup championship	3063
FK Rudar	3064
FK Željezničar	3065
Facial injuries	3066
Faculty Affairs Committee	3067
Faculty Affairs Committee of College of Science	3068
Faculty of Environmental Studies	3069
Fairwood Music (UK) Ltd.	3070
Falcons in the Super Bowl	3071
Fall 2013	3072
Fall Out Boy	3073
Fall Out Boy's fifth studio album	3074
Fall Out Boy's sixth studio album	3075
Fantasy Island	3076
Far East	3077
Faroese National Youth Orchestra	3078
Faroese Parliament	3079
Faroese politician	3080
Faroese singer	3081
Faroese women's national football team	3082
Fasten Your Seatbelt	3083
Fat Mike	3084
Fat Wreck Chords compilation albums	3085
Fauvism	3086
February 2 [O.S. January 20] 1905	3087
February 2013	3088
FedEx Cup	3089
Federico García Lorca	3090
Fei-Ping Hsu	3091
Fei-Ping Hsu as child prodigy	3092
Fei-Ping Hsu to study music	3093
Fei-Ping Hsu's ability	3094
Fei-Ping Hsu's family	3095
Fei-Ping Hsu's mother	3096
Feist	3097
Fellow of the Royal Society	3098
Fellow of the Royal Society of Canada	3099
Fellow of the Royal Television Society	3100
Fenerbahçe	3101
Ferdinand Carrier	3102
Fergal Lawler	3103
Fernandel	3104
Ferrari 430 for AF Corse in 2008	3105
Ferrari 550 Maranello in FIA GT Championship 2003	3106
Fever Heat	3107
Fielder's choice	3108
Fifty-sixth Congress	3109
Fight Club	3110
Fiji Water	3111
Film "Why Do Fools Fall in Love"	3112
Film Difficult Years	3113
Final match of 2018 AFC Women's Asian Cup	3114
Financial Freedom	3115
Fine Gael	3116
Fine Gael candidate in 1989 European Parliament election	3117
Fiona	3118
Fireproof	3119
First Division in 1991	3120
First Flight	3121
First World War	3122
First album	3123
First conducting appearance with Bournemouth Symphony Orchestra	3124
First daughter	3125
First division	3126
First drawing of the Moon through a telescope by Thomas Harriot	3127
First no-hit game in American Association	3128
First two Super Bowls	3129
Five Final Four appearances in a row	3130
Five martyrs	3131
Five of the eight properties purchased by Serin	3132
Five players including Archie Baird	3133
Five years	3134
Flanagan household	3135
Fledgling company	3136
Flemish history painter	3137
Flora	3138
Florestan I	3139
Florida	3140
Florida House of Representatives	3141
Florida Marlins	3142
Florida in late 1980s	3143
Following consolidation of Franco regime	3144
Fondation Anne de Gaulle	3145
Football Association	3146
Football League Cup	3147
Football League Trophy	3148
Fordham Preparatory School in the Bronx	3149
Fordham University	3150
Foreign Ministry	3151
Foreign Secretary	3152
Forest Lawn Memorial Park	3153
Forest Lawn Memorial Park in Los Angeles	3154
Forest View High School	3155
Forever Belongs	3156
Forman Christian College University in Pakistan	3157
Formula Alfa Boxer	3158
Fortune Cookies	3159
Fortune Cookies: The Best of Alana Davis	3160
Forty-third Congress	3161
Foster's .45	3162
Four Dimensions of Greta	3163
Four other missionaries	3164
Four political books by Michael Savage	3165
Fox	3166
Fox Business	3167
Fox Business News	3168
Fox News Channel	3169
Fox News Channel programs	3170
FoxNews.com	3171
France	3172
France at 2014 FIFA World Cup	3173
France at UEFA Euro 2012	3174
France at various youth levels	3175
France national team	3176
Frances Pelzman Liscio	3177
Francis Poulenc	3178
Francophone rights	3179
Frank A. McLain	3180
Frank Abagnale Jr.	3181
Frank Abagnale Jr.'s story	3182
Frank Alexander McLain	3183
Frank Batten School of Leadership and Public Policy	3184
Frank Capp	3185
Frank William Abagnale Jr.	3186
Frank William Abagnale Jr.'s life story	3187
Franka Potente	3188
Frankie Lymon	3189
Frankie Lymon's biggest hit	3190
Frankie Lymon's success as a singer and performer	3191
Frankie Miller	3192
Franklin Joseph "Frankie" Lymon	3193
Franklin Joseph "Frankie" Lymon's career	3194
Franklin Joseph "Frankie" Lymon's life	3195
Franklin Joseph Lymon	3196
Franz Brentano	3197
Frauen-Bundesliga	3198
Fred Eaglesmith	3199
Freddie Frith	3200
Freddy vs. Jason	3201
Frederick I	3202
Frederick Lee "Freddie" Frith	3203
Frederick Thomas Brentnall	3204
Frederick Thomas Brentnall resignation	3205
French	3206
French 125cc Championship	3207
French Ambassador to the United States	3208
French Resistance	3209
French Revolution	3210
French Stewart	3211
French World War I flying ace	3212
French cinema	3213
French economy	3214
French footballer	3215
French language	3216
French language and culture	3217
French luxury fashion and perfume house	3218
French national team	3219
French occupation of Monaco	3220
French squad	3221
French squadron and convoy	3222
French theater	3223
French-Canadian newspaper in Minneapolis	3224
Fresno Grizzlies	3225
Frido Casimir	3226
Friedericke Louise Elizabeth Beulke	3227
Friendly match against Belgium	3228
Friends	3229
Friendship between Hephaestion and Alexander the Great	3230
From Above	3231
From Under the Cork Tree	3232
Frontier town	3233
Frozen Four appearance for Clarkson first time in over 20 years	3234
Fugazi	3235
Fugazi at London's Forum	3236
Fuji TV director Shin Hirano	3237
Fulani	3238
Fulani ethnic group	3239
Fulani herdsmen	3240
Fulani scholar	3241
Full Faith and Credit Big Band	3242
Fundamentals of Physics	3243
Funeral ceremony of A.P.J. Abdul Kalam	3244
Funeral mass for Robert Francis "Bobby" Kennedy	3245
Fyodor Dostoyevsky's "Crime and Punishment"	3246
G.M. Racing Team	3247
GCB	3248
GCSAA's highest honor	3249
GMB union	3250
GP Racing	3251
GT2 class in 2008	3252
GTP	3253
GTR	3254
GTR steamship companies	3255
GTR subsidiary railroads	3256
Gael García Bernal	3257
Galatasaray	3258
Galatasaray Lycee	3259
Galatasaray SK	3260
Galatasaray football team	3261
Galatasaray shirt after return	3262
Galatasaray team	3263
Galatasaray to several championships	3264
Galatasaray under Gündüz Kılıç	3265
Galatasaray until 1953	3266
Game-winning touchdown pass	3267
Ganden Phodrang government	3268
Gao Cheng	3269
Gao Huan	3270
Gao Wei	3271
Gao Yang	3272
GardaWorld	3273
Garnett	3274
Garret A. Hobart	3275
Gary Bartlett	3276
Gary Brooker	3277
Gary Burton	3278
Gary Lee Pack	3279
Gary Pihl	3280
Gaspé	3281
Gateway	3282
Gathering information	3283
Gators gymnastics team	3284
Gauja River	3285
Gaziantepspor	3286
Gazzara	3287
Geffen Playhouse	3288
Gendun Gyatso	3289
Gene Bertoncini	3290
Gene Sarazen	3291
General Dwight D. Eisenhower	3292
General Eisenhower	3293
General Hospital	3294
General Hospital: Night Shift	3295
