head	tail	relation
Solidago rupestris	North American species of flowering plants	instance of game
Solidago rupestris	sunflower family	family origin
Solidago rupestris	eastern United States	distribution
Solidago rupestris	Maryland	location of
Solidago rupestris	Virginia	location of
Solidago rupestris	Kentucky	location of
Solidago rupestris	Tennessee	location of
Solidago rupestris	Indiana	location of
Solidago rupestris	Pennsylvania	location of
Solidago uliginosa	bog goldenrod	instance of game
Solidago uliginosa	North American species of flowering plants	instance of game
Solidago uliginosa	sunflower family	family origin
Solidago uliginosa	eastern Canada	distribution
eastern Canada	Nunavut	part of
eastern Canada	Newfoundland	part of
eastern Canada	Manitoba	part of
Solidago uliginosa	eastern United States	distribution
Great Lakes	Eastern United States	part of
Northeast	Eastern United States	part of
Appalachian Mountains	Eastern United States	part of
2016 Kansas City Royals season	48	ordinal
2016 Kansas City Royals season	Kauffman Stadium	location of
Kansas City Royals	defending World Series champions	title for
Kansas City Royals	first team since the 1999 New York Yankees to win back-to-back World Series titles	objective
2016 Kansas City Royals season	April 3	start date
2016 Kansas City Royals season	World Series rematch at home against the New York Mets	event
first pitch relay	10 mile long relay	length
first pitch relay	Kansas City Union Station	start of
first pitch relay	Kauffman Stadium	end location
first pitch relay	Kansas City MLB Urban Youth Academy	designated heir
Kansas City Royals	eliminated from postseason contention	season status
Kansas City Royals elimination	marked four straight World Series champions that missed the playoffs the following year	notable feature
Kansas City Royals	81–81 record	record held by
Kansas City Royals	third place in the division	final standing in league
2017 Kansas City Royals season	49	ordinal
2017 Kansas City Royals season	Kauffman Stadium	site of event
Kansas City Royals	Minnesota Twins	opponent
Kansas City Royals	Arizona Diamondbacks	final home opponent
Truman Sports Complex	sports and entertainment facility	instance of game
Truman Sports Complex	Arrowhead Stadium	contains
Truman Sports Complex	Kauffman Stadium	contains
Arrowhead Stadium	Kansas City Chiefs	located in venue
Kauffman Stadium	Kansas City Royals	located in venue
Truman Sports Complex	various other events during the year	hosts
2009 Kansas City Royals season	April 7	scheduled opening date
U. S. Cellular Field	game against the Chicago White Sox	site of event
Chicago White Sox	the game	won
Kansas City Royals	New York Yankees	co-hosted by
Interleague opponents	St. Louis Cardinals	brought
Arizona Diamondbacks	Interleague opponents	opponent
Cincinnati Reds	Interleague opponents	opponent
Houston Astros	Interleague opponents	opponent
Pittsburgh Pirates	Interleague opponents	opponent
Charles Utter Deaton	American architect	field of work
Scouts Guide to the Zombie Apocalypse	film from 2015	instance of game
Scouts Guide to the Zombie Apocalypse	Christopher B. Landon	director
Scouts Guide to the Zombie Apocalypse	Christopher B. Landon	author
Scouts Guide to the Zombie Apocalypse	Carrie Evans	author
Scouts Guide to the Zombie Apocalypse	Emi Mochizuki	author
Scouts Guide to the Zombie Apocalypse	Lona Williams	author
Scouts Guide to the Zombie Apocalypse	Tye Sheridan	cast member
Scouts Guide to the Zombie Apocalypse	Logan Miller	cast member
Scouts Guide to the Zombie Apocalypse	Joey Morgan	cast member
Scouts Guide to the Zombie Apocalypse	Sarah Dumont	cast member
Scouts Guide to the Zombie Apocalypse	David Koechner	cast member
Scouts Guide to the Zombie Apocalypse	Paramount Pictures	supplier
Jessica Rothe	Jessica Rothenberg	is named
Jessica Rothe	American actress	instance of game
Happy Death Day	Jessica Rothe	cast member
La La Land	Jessica Rothe	cast member
Forever My Girl	2017 romance film	instance of game
Forever My Girl	Alex Roe	cast member
Forever My Girl	Jessica Rothe	cast member
Forever My Girl	John Benjamin Hickey	cast member
Forever My Girl	Bethany Ashton Wolf	director
Forever My Girl	October 2017	release date
Happy Death Day	upcoming American slasher film	instance of game
Happy Death Day	Christopher B. Landon	director
Happy Death Day	Scott Lobdell	writer
Happy Death Day	Jessica Rothe	cast member
Happy Death Day	Israel Broussard	cast member
Happy Death Day	Jason Blum	producer
Happy Death Day	Blumhouse Productions	production
My Bloody Valentine 3D	2009 American slasher film	instance of game
My Bloody Valentine 3D	My Bloody Valentine (1981 film)	replaces
My Bloody Valentine 3D	Patrick Lussier	director
My Bloody Valentine 3D	Patrick Lussier	editor
My Bloody Valentine 3D	Jensen Ackles	cast member
My Bloody Valentine 3D	Jaime King	cast member
My Bloody Valentine 3D	Betsy Rue	cast member
My Bloody Valentine 3D	Kerr Smith	cast member
My Bloody Valentine 3D	3D	width
My Bloody Valentine 3D	Lionsgate	supplier
My Bloody Valentine 3D	generally mixed reviews	reception
My Bloody Valentine 3D	box office success	financial outcome
Battle of Belleau Wood	USS Belleau Wood	named after
Battle of Belleau Wood	German Spring Offensive in World War I	part of
Battle of Belleau Wood	Marne River in France	located on or near
Battle of Belleau Wood	U.S. 2nd Divisions	involved in
Battle of Belleau Wood	U.S. 3rd Divisions	involved in
Battle of Belleau Wood	French forces	involved in
Battle of Belleau Wood	British forces	involved in
Battle of Belleau Wood	German units	B-side of
German units	237th Divisions	part of
German units	10th Divisions	part of
German units	197th Divisions	part of
German units	87th Divisions	part of
German units	28th Divisions	part of
United States Marine Corps	Battle of Belleau Wood	notable for
Clifton Bledsoe Cates	Clifton B. Cates	year of birth
United States Marine Corps	Clifton B. Cates	member
Clifton B. Cates	19th Commandant of the Marine Corps	position held
Clifton B. Cates	1948 to 1951	term of service
Clifton B. Cates	World War I at the Battle of Belleau Wood	decorated with
Clifton B. Cates	World War II for inspired combat leadership at the Battle of Iwo Jima	decorated with
Clifton B. Cates	one of the most distinguished young officers of the Great War	notable feature
Clifton B. Cates	a platoon in combat	commanded unit
Clifton B. Cates	a company in combat	commanded unit
Clifton B. Cates	a battalion in combat	commanded unit
Clifton B. Cates	a regiment in combat	commanded unit
Clifton B. Cates	a division in combat	commanded unit
United States Marine Corps	Darel McKinney	member
Darel McKinney	World War I	participated in
Darel McKinney	Navy Cross	award winner
Darel McKinney	Distinguished Service Cross	award winner
Battle of Belleau Wood	Darel McKinney	participant
American Expeditionary Forces	United States Army	part of
American Expeditionary Forces	World War I	time of activity
American Expeditionary Forces	France	headquarters location
American Expeditionary Forces	General John J. Pershing	military commander
American Expeditionary Forces	French Army	military unit stationed
American Expeditionary Forces	British Army	military unit stationed
American Expeditionary Forces	Canadian Army	military unit stationed
Royal Australian Navy	Australian Defence Force	instance of game
Commonwealth Naval Forces	ships and resources of the separate colonial navies	built structure
Commonwealth Naval Forces	Federation of Australia in 1901	established from
Royal Australian Navy	navy	formal name
Royal Australian Navy	1911	inception date
navy	defence of the region	responsible for
Defence Long Service Medal	Australian Military award	instance of game
Defence Long Service Medal	long service	selection criteria
Defence Long Service Medal	permanent and reserve members of the Australian Defence Force	awarded to
Defence Long Service Medal	rank	applies to
Defence Long Service Medal	1998	inception date
suite of defence force service awards introduced in 1982	Defence Long Service Medal	replaces
suite of defence force service awards introduced in 1982	Defence Force Service Medal	comprised
suite of defence force service awards introduced in 1982	Reserve Force Medal	comprised
suite of defence force service awards introduced in 1982	Reserve Force Decoration	comprised
Yugoslav Navy	JRM	abbreviation
Yugoslav Navy	naval branch of the Yugoslav People's Army	instance of game
Yugoslav Navy	a coastal defence force	organizational structure
Yugoslav Navy	preventing enemy landings on its long and indented coastline	task
inventory of Yugoslav Navy	its foreign relations	reflects
inventory of Yugoslav Navy	growing capabilities of its domestic shipyards and scientific institutions	reflects
Vietnam People's Navy	Hải quân nhân dân Việt Nam	original language name
Vietnam People's Navy	Vietnamese Navy	abbreviation
Vietnam People's Navy	Vietnamese People's Navy	abbreviation
Vietnam People's Navy	naval branch of the Vietnam People's Army	instance of game
Naval Chapel at Garden Island dockyard	oldest Christian chapel of the Royal Australian Navy	instance of game
Naval Chapel at Garden Island dockyard	1902	establishment date
Naval Chapel at Garden Island dockyard	conversion from the former sail loft	established in relation to
Naval Chapel at Garden Island dockyard	stained glass windows and plaques from that era to the present	has part name
Naval Chapel at Garden Island dockyard building	the oldest on Garden Island	statement about
Naval Chapel at Garden Island dockyard building	two storey	has feature
Naval Chapel at Garden Island dockyard building	timber	material
original loft floor of timber	caulked with oakum and bitumen	has feature
Orbis Pictus	Slovak film	instance of game
Orbis Pictus	1997	publication time
Orbis Pictus	Dorota Nvotová	cast member
Orbis Pictus	Marián Labuda	cast member
Orbis Pictus	Božidara Turzonovová	cast member
Orbis Pictus	Július Satinský	cast member
Orbis Pictus	Emília Vášáryová	cast member
Orbis Pictus	František Kovár	cast member
Orbis Pictus	Martin Šulík	director
Orbis Pictus	Special Award of the Jury at the International Filmfestival Mannheim-Heidelberg	award winner
Orbis Pictus	the Best Film in 1997 at the International Filmfestival Mannheim-Heidelberg	award winner
Orbis Pictus	Slovak entry for the Best Foreign Language Film at the 70th Academy Awards	official designation
Orbis Pictus	not accepted as a nominee	notable for
Gorontalo	Province	instance of game
Gorontalo namesake city	the capital of the province	description
Gorontalo	a center of the spread of Islam in Eastern Indonesia	notable work
Gorontalo	unique classical Gorontalese fine art and culture	applies to theme
unique classical Gorontalese fine art and culture	Karawo	part of
unique classical Gorontalese fine art and culture	Upiya Karanji	part of
Upiya Karanji	Songkok Gorontalo	has alternative name
Upiya Karanji	Peci Gusdur	has alternative name
Peci Gusdur	Gusdur	nickname derived from
Gusdur	The 4th President of Indonesia	position held
unique classical Gorontalese fine art and culture	poetry	part of
Gorontalo City	"The Land Under Medina's Porch"	nickname derived from
Gorontalo province	Gorontalo Peninsula	located on
Gorontalo Peninsula	peninsula	instance of game
Gorontalo province	Sulawesi	located in the administrative territorial entity
Gorontalo province	North Sulawesi	located in the administrative territorial entity
Gorontalo province	12435 km2	area
Gorontalo province	2016	population
Gorontalo province	88 inhabitants / km²	population distribution
Gorontalo	several groups consisting of various Pohala'a	demonym
Pohala'a	Family	abbreviation
Gorontalo	Pohala'a Gorontalo	inhabited by
Pohala'a Gorontalo	Ethnic Hulontalo	instance of game
Bull Hill	Mount Taurus	alias
Bull Hill	mountain	instance of game
Bull Hill	Cold Spring	located east of
Cold Spring	village	instance of game
Cold Spring	Putnam County	located in administrative territorial entity
Bull Hill	State of New York	located in administrative territorial entity
Bull Hill	Hudson Highlands	part of
Hudson Highlands	river-straddling range	instance of game
the name of the mountain the bull used to haunt	a bull that used to terrorize the mountain	origin
indignant inhabitants	the bull	pursued
A hunting party	the bull over the hill	vehicle
the bull	space	has appeared in
the bull	rocks	dropped
the name of the mountain the bull used to haunt	broken and shapeless mass of the bull on the rocks	commemorated
Garrison	Putnam County	located in administrative territorial entity
Garrison	New York	located in administrative territorial entity
Garrison	United States	located in administrative territorial entity
Garrison	Philipstown	located in administrative division
Philipstown	the east side of the Hudson River	located beside
Philipstown	United States Military Academy at West Point	located across from
Garrison Metro-North Railroad station	Garrison	serves service
Garrison	Garrison's Landing	has alternative name
Garrison	Isaac Garrison	named after
Isaac Garrison	property lot on the Hudson River across from West Point	has effect
Isaac Garrison	ferry service across the Hudson River between the two hamlets	conducted
Isaac Garrison	Battle of Fort Montgomery	participant in
Isaac Garrison	1777	is year of
Isaac Garrison	British Army	captured by
Isaac Garrison	British Army	released after
Beverly Garrison	Battle of Fort Montgomery	participant in
Beverly Garrison	1777	conflict
Beverly Garrison	British Army	captured by
Beverly Garrison	British Army	released after
Wilkinson Memorial Trail	public footpath	instance of game
Wilkinson Memorial Trail	Hudson Highlands region	location of
Wilkinson Memorial Trail	New York	located in administrative territorial entity
Wilkinson Memorial Trail	Dutchess–Putnam county line	follows boundary
Wilkinson Memorial Trail	the banks of the Hudson River near Breakneck Ridge	start of
Wilkinson Memorial Trail	North Highlands	end location
North Highlands	the county line in Philipstown	located just south of
Wilkinson Memorial Trail	9.5 mi	length
Wilkinson Memorial Trail	Hudson Highlands State Park system	located in building
Hudson Highlands State Park	other public and private parcels in the area	intersects with
Hudson Highlands State Park	non-contiguous state park	instance of game
Hudson Highlands State Park	New York	located in administrative territorial entity
Tom Clancy's Splinter Cell: Pandora Tomorrow	stealth video game	instance of game
Tom Clancy's Splinter Cell: Pandora Tomorrow	Ubisoft Shanghai	developer
Tom Clancy's Splinter Cell: Pandora Tomorrow	Ubisoft Shanghai	publisher
Splinter Cell	Ubisoft Montreal	developer
Pandora Tomorrow	Splinter Cell	part of the series
Pandora Tomorrow	Tom Clancy	endorsement
Pandora Tomorrow	Sam Fisher	features
Sam Fisher	agent	instance of game
Sam Fisher	National Security Agency (NSA)	member of
National Security Agency (NSA)	Third Echelon	formal name
Sam Fisher	Michael Ironside	voice actor
Irving Lambert	Dennis Haysbert	voice actor
Irving Lambert	Sam Fisher's boss	relationship
Dennis Haysbert	Irving Lambert	voice actor for character
Theme music for the game	Lalo Schifrin	composer
Tom Clancy's Splinter Cell: Pandora Tomorrow HD	PlayStation Network	platform
Tom Clancy's Splinter Cell: Pandora Tomorrow HD	PlayStation 3	platform
Tom Clancy's Net Force Explorers: Safe House	series of young adult novels	instance of game
Tom Clancy's Net Force Explorers	Tom Clancy	creator associated with
Tom Clancy's Net Force Explorers	Steve Pieczenik	creator associated with
Tom Clancy's Net Force Explorers	Tom Clancy's Net Force	spin off of
Tom Clancy's Net Force Explorers: Deathworld	series of young adult novels	instance of game
Tom Clancy's Net Force Explorers: Gameprey	series of young adult novels	instance of game
Tom Clancy's Net Force Explorers: Cold Case	young adult novel	instance of game
Tom Clancy's Net Force Explorers: Cold Case	Bill McCay	author
Tom Clancy's Net Force Explorers: Cold Case	Tom Clancy's Net Force Explorers	part of the series
Samuel Fisher	fictional character	instance of game
Samuel Fisher	Tom Clancy's Splinter Cell series of video games	protagonist of
Tom Clancy's Splinter Cell series of video games	Ubisoft	developer
Tom Clancy's Splinter Cell series of video games	Tom Clancy	endorsement
Tom Clancy's Splinter Cell	Samuel "Sam" Fisher	protagonist role
Tom Clancy's Splinter Cell	first game of the series	instance of game
Samuel "Sam" Fisher	V-22 Osprey	participated in
Samuel "Sam" Fisher	home call	secured by
Samuel "Sam" Fisher	Michael Ironside	voice actor
Michael Ironside	veteran actor	instance of game
Fruit salad	dish consisting of various kinds of fruit	instance of game
Fruit salad	liquid	served in
liquid	their own juices	is
liquid	a syrup	is
Salad bar	buffet-style table or counter	instance of game
Salad bar	a restaurant or food market	is located
Salad bar	salad components	provides
customers	their own salad plates	place of assembly
lettuce	Most salad bars	granted by
chopped tomatoes	Most salad bars	granted by
dried bread croutons	Most salad bars	granted by
bacon bits	Most salad bars	granted by
shredded cheese	Most salad bars	granted by
various types of salad dressing	Most salad bars	granted by
cooked cold meats	Some salad bars	offers
Turkey	Cooked cold meats	ingredient of
Chicken	Cooked cold meats	ingredient of
Ham	Cooked cold meats	ingredient of
Tuna	Cooked cold meats	ingredient of
Cooked beans	Salad bar	part of
Chickpeas	Cooked beans	ingredient of
Chickpeas	Cooked beans	ingredient of
Kidney beans	Cooked beans	ingredient of
Boiled egg	Salad bar	part of
Cottage cheese	Salad bar	part of
Cold pasta salad	Salad bar	part of
Tortilla chip	Salad bar	part of
Bread roll	Salad bar	part of
Soup	Salad bar	part of
Fresh fruit	Salad bar	part of
Crataegus submollis	northern downy hawthorn	has alternative name
Crataegus submollis	northern red haw	has alternative name
Crataegus submollis	Quebec hawthorn	has alternative name
Crataegus submollis	hairy cockspurthorn	has alternative name
Crataegus submollis	species of hawthorn	instance of game
Crataegus submollis	7 m	height greater than
Crataegus submollis	typically carries large crops of red fruit	characteristic
Wheat salad	salad of Arab salads	instance of game
Wheat salad	wheat	ingredient
Contagion (film)	2011 U.S. medical thriller-disaster film	instance of game
Contagion (film)	Steven Soderbergh	director
Contagion (film)	Marion Cotillard	cast member
Contagion (film)	Bryan Cranston	cast member
Contagion (film)	Matt Damon	cast member
Contagion (film)	Laurence Fishburne	cast member
Contagion (film)	Jude Law	cast member
Contagion (film)	Gwyneth Paltrow	cast member
Contagion (film)	Kate Winslet	cast member
Contagion (film)	Jennifer Ehle	cast member
Contagion (film)	the spread of a virus transmitted by fomites	has effect
Contagion (film)	attempts by medical researchers and public health officials to identify and contain the disease	has effect
Contagion (film)	the loss of social order in a pandemic	has effect
Contagion (film)	the introduction of a vaccine to halt its spread	has effect
Contagion (film)	multi-narrative hyperlink cinema style	style
Steven Soderbergh	multi-narrative "hyperlink cinema" style	pioneered in
And Everything Is Going Fine	documentary film	instance of game
And Everything Is Going Fine	Steven Soderbergh	director
And Everything Is Going Fine	Spalding Gray	subject of
And Everything Is Going Fine	Slamdance Film Festival	premiered at
And Everything Is Going Fine	2010 SXSW Film Festival	screened at
And Everything Is Going Fine	2010 Maryland Film Festival	screened at
Gray's Anatomy	Steven Soderbergh	director
Gray's Anatomy	filmed monologue by Spalding Gray	instance of game
The Knick	American television drama series	instance of game
The Knick	Cinemax	network
The Knick	Jack Amiel	creator associated with
The Knick	Michael Begler	creator associated with
The Knick	Steven Soderbergh	director
The Knick	Dr. John W. Thackery	protagonist role
The Knick	Clive Owen	cast member
The Knick	Knickerbocker Hospital	setting (location)
Knickerbocker Hospital	The Knick	has alternative name
The Knick	New York	setting (location)
The Knick	early twentieth century	period of time described by
The Knick	Jack Amiel	writer
The Knick	Michael Begler	writer
Jack Amiel	executive producer	position held
Michael Begler	executive producer	position held
"Small Town Boy" (song)	Dustin Lynch	performer
"Small Town Boy" (song)	"Current Mood"	is part of album
Kill the Lights	studio album by Luke Bryan	instance of game
Kill the Lights	Capitol Nashville	publisher
"Kick the Dust Up"	Kill the Lights	is part of album
"Strip It Down"	Kill the Lights	is part of album
"Home Alone Tonight"	Kill the Lights	is part of album
"Move"	Kill the Lights	is part of album
Kill the Lights (album)	"Billboard" Country Airplay chart	reached number one
Luke Bryan	first country music artist ever to have five number one singles from two albums apiece	record held by
"Fast"	Kill the Lights	is part of album
"Fast"	November 2016	release date
"Fast"	April 2017	reached number one
Luke Bryan	first artist in the chart's history to achieve six number one singles from one album	record held by
Adam Craig	American country music singer-songwriter	instance of game
Adam Craig	September 2004	chairman start time
Sony/ATV Music Publishing	Adam Craig	signed player
Adam Craig	March 2011	chairman start time
Parmalee's "Close Your Eyes"	Adam Craig	author
Jason Aldean's "Church Pew or Bar Stool"	Adam Craig	author
Dustin Lynch's "World to Me"	Adam Craig	author
Love and Theft's "Whiskey on My Breath"	Adam Craig	author
Stoney Creek Records	Adam Craig	signed player
Adam Craig's self-titled debut EP	Adam Craig	creator associated with
Adam Craig's self-titled debut EP	"Reckon"	title for
"Reckon"	Randy Montana	author
"Reckon"	Derek George	author
"Reckon"	Jeremy Stover	author
The Zoo Story	one-act play	instance of game
The Zoo Story	Edward Albee	author
Edward Albee	American playwright	instance of game
The Zoo Story	1958	publication time
The Zoo Story	three weeks	written with
The Zoo Story	isolation	theme of
The Zoo Story	loneliness	theme of
The Zoo Story	miscommunication as anathematization	theme of
The Zoo Story	social disparity	theme of
The Zoo Story	dehumanization in a commercial world	theme of
The Zoo Story	Edward Albee's at Home at the Zoo	collection
Edward Albee's at Home at the Zoo	Peter and Jerry	name
The Edward F. Albee Foundation	Edward Albee	founder
The Edward F. Albee Foundation	1967	inception date
Edward Albee	revenue from his play Who's Afraid of Virginia Woolf? proved abundant	foundation established by
Finding the Sun	one-act play	instance of game
Finding the Sun	Edward Albee	author
Jack Gelber	American playwright	instance of game
Jack Gelber	The Connection	notable work
The Connection	1959	publication time
The Connection	life of drug-addicted jazz musicians	subject of
The Connection	the Living Theatre	produced by
The Connection	five	translated from language
The Connection	ten	participant country count
Jack Gelber	New York	residence
Jack Gelber	the Edward Albee Last Frontier Playwright Award	award winner
the Edward Albee Last Frontier Playwright Award	Jack Gelber	achievement
Reed Adalbert Albee	8 September 1885	year of birth
Reed Adalbert Albee	2 August 1961	date of killing
Reed Adalbert Albee	American businessman	instance of game
Edward Albee	Reed Adalbert Albee	adoptive father
Reed Adalbert Albee	a prominent East Coast family who owned several theaters	member of
The Oppenheimer Award	the Newsday George Oppenheimer Award	has alternative name
The Oppenheimer Award	the Oppy	has alternative name
The Oppenheimer Award	George Oppenheimer	named after
Mellon Institute of Industrial Research	1913	date of founding
Mellon Institute of Industrial Research	Andrew W. Mellon	founder
Mellon Institute of Industrial Research	Richard B. Mellon	founder
Carnegie Institute of Technology	Mellon Institute of Industrial Research	merged with
Mellon Institute of Industrial Research	1967	date of dissolution
Carnegie Mellon University	Mellon Institute of Industrial Research	successor of
landmark building bearing Mellon Institute of Industrial Research's name	corner of Fifth Avenue and Bellefield Avenue	located at the site
corner of Fifth Avenue and Bellefield Avenue	Oakland	located in administrative division
Oakland	the city's university district	described as
landmark building bearing Mellon Institute of Industrial Research's name	Carnegie Mellon Software Engineering Institute	located beside
landmark building bearing Mellon Institute of Industrial Research's name	University of Pittsburgh's Bellefield Hall	located beside
landmark building bearing Mellon Institute of Industrial Research's name	University of Pittsburgh's Heinz Memorial Chapel	located across from
landmark building bearing Mellon Institute of Industrial Research's name	Cathedral of Learning	located across from
Carnegie Mellon University Usable Privacy and Security Laboratory (CUPS)	Spring of 2004	date of founding
Carnegie Mellon University Usable Privacy and Security Laboratory (CUPS)	bring together Carnegie Mellon University researchers working on a diverse set of projects related to understanding and improving the usability of privacy and security software and systems	purpose stated
Usability problems severely impact the effectiveness of mechanisms designed to provide security and privacy in software systems	Privacy and security research community	has mention of
Computing Research Association	One of the four grand research challenges in information security and assurance	identified
CUPS	Carnegie Mellon CyLab	affiliations
CUPS	Engineering and Public Policy Department	appointed member
CUPS	School of Computer Science	appointed member
CUPS	Electrical and Computer Engineering Department	appointed member
CUPS	Heinz College	appointed member
CUPS	Department of Social and Decision Sciences	appointed member
Jeff Friedman	American poet	instance of game
Jeff Friedman	professor	occupation
Jeff Friedman	Five books of poetry	author of
Black Threads	Jeff Friedman	author
Black Threads	Carnegie Mellon University Press	publisher
Black Threads	2007	publication time
Taking Down the Angel	Jeff Friedman	author
"Taking Down the Angel"	Carnegie Mellon University Press	publisher
"Taking Down the Angel"	2003	publication time
"Scattering the Ashes"	Jeff Friedman	author
Shanghai Grand Theatre	one of the largest and best-equipped automatic stages in the world	is significant in
Shanghai Grand Theatre	intersection of Central Boulevard and Huangpi Road South	location of
intersection of Central Boulevard and Huangpi Road South	People's Square	located in the administrative region
Shanghai Grand Theatre	Shanghai Opera House Company	to
Shanghai Opera House	performing company	applies to
Shanghai Grand Theatre	other performing companies	to
Mozarteum Argentino	Argentina	country participating
Mozarteum Argentino	one of the most important musical institutions in the country	is significant in
Mozarteum Argentino	scholarships to some of Argentina's most able musicians	provides
Mozarteum Argentino	1952	founded in
Mozarteum Argentino	concerts	organizes
Mozarteum Argentino	over 50 concerts a year	organizes
Joseph Anderer	principal horn	position
Joseph Anderer	St. Luke’s Chamber Ensemble	founder
Joseph Anderer	Orchestra of St. Luke's	founder
Metropolitan Opera Orchestra’s horn section	Joseph Anderer	member
Joseph Anderer	1984	chairman start time
Joseph Anderer	acting Principal Horn for season 1984-5	position held
Joseph Anderer	Principal Horn since 2003-2004	position held
New York Philharmonic	Joseph Anderer	performer
Joseph Anderer	fourteen seasons	frequency
Joseph Anderer	many concerts	participated in
Joseph Anderer	recordings	participated in
Boehm Quintette	Joseph Anderer	member
Joseph Anderer	many years	period of membership
Joseph Anderer	many works composed for that ensemble	premiered
Orchestra of St. Luke’s	Joseph Anderer	member as musician
Orchestra of St. Luke’s	Carnegie Hall	venue
Phlebodium	small genus of two to four species of ferns	instance of game
Phlebodium	tropical and subtropical regions of the Americas	habitat
Phlebodium	Polypodium	taxonomic status
Phlebodium species	Polypodium	taxonomic status
Tree ferns	ferns that grow with a trunk elevating the fronds above ground level	instance of game
Dicksoniaceae	Most tree ferns	taxonomic rank
Metaxyaceae	Most tree ferns	taxonomic rank
Cibotiaceae	Most tree ferns	taxonomic rank
Tree ferns	Many ferns in other groups	classification
Tree ferns	Several ferns in the family Osmundaceae	classification
Ferns in the family Osmundaceae	short trunks under a metre tall	height greater than
Tree ferns	Ferns in the genus "Cibotium"	classification
Ferns in the genus "Cibotium"	ten metres tall	height greater than
Tree ferns	Fern species with short trunks in the genus "Blechnum"	classification
Tree ferns	Fern species with short trunks in the genus "Calochleana"	classification
Fern species with short trunks in the genus "Cnemedaria"	tree ferns	term in English
Fern species with short trunks in the genus "Culcita"	tree ferns	term in English
Culcita	tree fern native to Europe	is a type of
Fern species with short trunks in the genus "Cystodium"	tree ferns	term in English
Fern species with short trunks in the genus "Leptopteris"	tree ferns	term in English
Fern species with short trunks in the genus "Lophosoria"	tree ferns	term in English
Fern species with short trunks in the genus "Sadleria"	tree ferns	term in English
Fern species with short trunks in the genus "Thyrsopteris"	tree ferns	term in English
Fern species with short trunks in the genus "Todea"	tree ferns	term in English
Sinopieris	butterflies	instance of game
Sinopieris	Pieridae	member of taxon
Sinopieris	Nepal	country of origin
Sinopieris	Tibet	country of origin
Sinopieris	Yunnan	country of origin
Sinopieris	Gansu	country of origin
Sinopieris	Shaanxi	country of distribution
Sinopieris	Sichuan	country of distribution
Sinopieris	Pieris	element
Sinopieris	Pieris by the venation in the apical area of the forewing	subsequently identified as
Sinopieris	a suffused grey or blackish post-discal band	characteristic
Pieris	a single blackish post-discal spot on the forewings	characteristic
Pieris females	a pair of blackish post-discal spots on the forewings	characteristic
Henry Covered Bridge (Ohio)	historic covered bridge	instance of game
Henry Covered Bridge (Ohio)	"Multiple Kingpost"	material
Henry Covered Bridge (Ohio)	45 feet	length
Henry Covered Bridge (Ohio)	1894	publication time
Main Street Bridge (Charles City, Iowa)	historic structure	instance of
Main Street Bridge (Charles City, Iowa)	Cedar River	crosses
Main Street Bridge (Charles City, Iowa)	248 ft	span length
local citizens	ferry	uses
ferry	ford in summer	used during
ferry	across the ice in winter	used during
flood	The first bridge at this location	destroyed
The first bridge at this location	under construction in 1858	destruction circumstances
The second bridge	1864	publication time
flood	The second bridge	destroyed
A temporary bridge	1867	publication time
truss bridge	A temporary bridge	replaces
A truss bridge	40 years	service duration
engineer's study	condemnation	finding
engineer's study	1892	publication time
replacement bridge	1908	confirmation date
The old bridge	a new spot five blocks downstream	location after relocation
construction of the new bridge	contract problems	timing
The three span concrete filled spandrel arch bridge	G.W. Miller	designer
G.W. Miller	designing engineer	occupation
The three span concrete filled spandrel arch bridge	1910	student completion date
The bridge	the county and the city	funding
The bridge	1999	date of
Shinn Covered Bridge	a historic wooden covered bridge	instance of game
Shinn Covered Bridge	Ohio	located in the administrative territorial entity
Shinn Covered Bridge	northeast of Bartlett in Washington County	location of
Shinn Covered Bridge	single-span truss bridge	instance of game
Shinn Covered Bridge	1886	date of construction
Shinn Covered Bridge	Charles T. Shinn	architectural work of
Shinn Covered Bridge	weatherboarded walls with stone abutments and a metal roof	uses material from
Shinn Covered Bridge	vertical siding	features
Murree Rebellion of 1857	War of Independence	has alternative name
Murree Rebellion of 1857	Indian Rebellion of 1857	part of
Murree Rebellion of 1857	rebel skirmish	instance of game
rebel skirmish	tribes surrounding the Hill Station of Murree	participant in
Hill Station of Murree	modern-day Pakistan	location of
rebel skirmish	colonial government of British India	participant in
Resentment toward colonial rule	for many years	temporal aspect
Resentment toward colonial rule	British establishment in the subcontinent	follows
occasional isolated uprisings toward the British	There had been	temporal aspect
significance of the 1857 events	uprisings had the feel of something much larger	description
uprisings	real anticipation that colonial rule would be overthrown	concept inspired by
Republic of Niger's Constitution of 1999	most human rights	enforces
most human rights	Universal Declaration of Human Rights	declared by
behavior of the government	human rights organizations	concerns
military	human rights organizations	concerns
Police forces	Human rights organizations	concerns
Continuation of traditional practices	Human rights organizations	concerns
Continuation of traditional practices	1999 constitution	violated
French colonial rule	1900–1960	period of time
Situation	Return to civilian rule	improved
Human rights in the country	Criticisms	criticism
First ever indirect election	1985 Hong Kong electoral reform	achieved result
Colonial legislature	First ever indirect election	introduced in
Colonial legislature	Last years of the British colonial rule in Hong Kong	active in the year
Green Paper: the Further Development of Representative Government in Hong Kong	Reform proposals	preceded by
Green Paper: the Further Development of Representative Government in Hong Kong	July 1984	publication time
Green Paper: the Further Development of Representative Government in Hong Kong	Sino-British Joint Declaration	first published in
