head	tail	relation
James Chinlund	Spike Lee	collaborator
25th Hour	Spike Lee	director
James Chinlund	commercials	field of work
James Chinlund	fashion	field of work
James Chinlund	Inez van Lamsweerde and Vinoodh Matadin	collaborator
James Chinlund	Rupert Sanders	collaborator
James Chinlund	Spike Jonze	collaborator
James Chinlund	Fredrik Bond	collaborator
James Chinlund	Lance Acord	collaborator
James Chinlund	Gus Van Sant	collaborator
James Chinlund	Harmony Korine	collaborator
Art Directors Guild award in 2010	James Chinlund	award received during
AICP award in 2010	James Chinlund	award received during
Art Directors Guild award and AICP award in 2010	Absolut World	worked on
Absolut World	Rupert Sanders	creator of
James Chinlund	2012	year of film appearance
The Avengers	2012	production start year
The Avengers	Marvel	role in production
The Avengers	highest grossing opening weekend of all time	record
Art Director’s Guild Award	James Chinlund	award received for work in
Saturn Award	James Chinlund	award received for work in
Dawn of the Planet of the Apes	Art Director’s Guild Award and Saturn Award in 2015	award received during
Dawn of the Planet of the Apes	Matt Reeves	director
War for the Planet of the Apes	James Chinlund	designer
War for the Planet of the Apes	Apes series	series
Being John Malkovich	1999 American fantasy-comedy film	instance of
Being John Malkovich	Spike Jonze	director
Being John Malkovich	Charlie Kaufman	writer
G&G Entertainment	South Korean/Japanese animation studio	instance of
G&G Entertainment	the domestic South Korean and Japanese anime markets	animator
G&G Entertainment	Gonzo	collaboration with
Kaleido Star	G&G Entertainment and Gonzo	produced
G&G Entertainment	Chinese studios	collaboration with
G&G Entertainment	creation of computer animation productions	collaboration with
Melnitsa Animation Studio	largest animation studio in Russia	instance of
Melnitsa Animation Studio	most successful and profitable animation studio in Russia	instance of
Melnitsa Animation Studio	the Walt Disney of Saint Petersburg by Deutsche Welle	is described as
Melnitsa Animation Studio	digital special effects	creates
digital special effects	animation projects	is used for
digital special effects	live-action films	is used for
John Lemmon Films	traditional character animation studio	instance of
John Lemmon Films	five “prominent animation houses”	listed as one of
John Lemmon Films	1984	date of founding
John Lemmon Films	John Lemmon	founder of
John Lemmon Films	Mike Rosinski	founder of
John Lemmon Films	clay animation	field of work
John Lemmon Films	stop-motion	field of work
John Lemmon Films	2D animation	field of work
John Lemmon Films	Flash animation	field of work
John Lemmon Films	web game design	field of work
clay animated TV commercials	John Lemmon Films	produced
clay animated TV commercials	Disney	partner
clay animated TV commercials	Cartoon Network	partner
clay animated TV commercials	Dairy Queen	partner
John Lemmon Films	clay-animated versions of well-known products	creator of
clay-animated versions of well-known products	the Coleman lantern	instance of
clay animated spots	John Lemmon Films	produced
clay animated spots	Tandy Corporation’s chain of stores called McDuff Electronics	partner
Konstantin Eduardovich Bronzit	Russian animator	instance of
Konstantin Eduardovich Bronzit	animation film director	instance of
Konstantin Eduardovich Bronzit	Oscars	nominated for award
Melnitsa Animation Studio	Konstantin Eduardovich Bronzit	employer
Melnitsa Animation Studio	Russian animation studio	instance of
Valide Sultan	Ottoman Turkish	name in original language
Valide Sultan	mother sultan	interpreted
Valide Sultan	legal mother of a ruling Sultan of the Ottoman Empire	is a description of
Valide Sultan	16th century	start time
Valide Sultan	Hafsa Sultan	holder
Hafsa Sultan	Selim I	spouse
Suleiman the Magnificent	Hafsa Sultan	father
Valide Sultan	mehd-i ülya	ruled
mehd-i ülya	cradle of the great	interpreted
Valide Sultan	living mother of a reigning sultan	is a description of
Mother	died before their sons' accession to the throne	characteristic
Valide Sultan title	Grandmothers of a reigning sultan	held
Valide Sultan title	Stepmothers of a reigning sultan	held
Gevherhan Sultan	Ottoman Turkish	name in original language
Gevherhan Sultan	1605	date of birth
Gevherhan Sultan	1631	date of death
Gevherhan Sultan	Ottoman princess	instance of
Gevherhan Sultan	Sultan Ahmed I	father
Sultan Ahmed I	1603–17	end of reign
Gevherhan Sultan	Kösem Sultan	father
Selim III	Ottoman Turkish	original language of work
Selim III	Selīm-i sālis	has alternative spelling
Selim III	24 December 1761	date of birth
Selim III	28 July 1808	date of death
Selim III	the reform-minded Sultan of the Ottoman Empire	is a description of
Selim III	1789	start time
Selim III	1807	end of appearance
Selim III	Janissaries	deposed by
Selim III	Janissaries	imprisoned by
Janissaries	Mustafa IV on the throne	located in place
Mustafa IV	Selim III	grandson of
Selim III	a group of assassins	cause of death
Selim III	Mustafa III	father
Selim III	Mihrişah Sultan	father
Mihrişah Sultan	Georgia	location of origin
Mihrişah Sultan	government schools	reformed in
Mihrişah Sultan	political corporations	established as
Mihrişah Sultan	Valide Sultan	position held from
Mustafa III	very well educated	statement
Mustafa III	necessity of reforms	advocated for
Mustafa III	powerful army	creates
powerful army	peacetime	time period of
powerful army	professional soldiers	consists largely of
powerful army	well-educated soldiers	consists largely of
Colgate Raiders men's ice hockey team	National Collegiate Athletic Association (NCAA) Division I college ice hockey program	instance of
Colgate Raiders men's ice hockey team	Colgate University	member of sports team
Colgate Raiders men's ice hockey team	ECAC Hockey	member of sports team
Starr Rink	Colgate Raiders men's ice hockey team	home venue
Starr Rink	1959	inception
Colgate Raiders men's ice hockey team	2015-16 season	home venue
Colgate Raiders men's ice hockey team	Class of 1965 Arena	home venue
Class of 1965 Arena	2016-17 NCAA season	date of first game
Shannon Doyle	Canadian-born women’s ice hockey player	instance of
Shannon Doyle	Connecticut Whale of the NWHL	part of the sports organization
Shannon Doyle	Colgate Raiders women's ice hockey	member of sports team
Shannon Doyle	2010–12	time period of
Shannon Doyle	25	career
Shannon Doyle	Boston University Terriers women's ice hockey program	member of sports team
Shannon Doyle	two seasons from 2012-15	time period of
Shannon Doyle	53	career
Shannon Doyle	2013–14 season	missed season
Shannon Doyle	injury	missed season
2015–16 Colgate Raiders women's basketball team	Colgate University	member of
2015–16 Colgate Raiders women's basketball team	2015–16 NCAA Division I women's basketball season	participated in season
2015–16 Colgate Raiders women's basketball team	Nicci Hays Fort	head coach
2015–16 Colgate Raiders women's basketball team	Cotterell Court	home venue
2015–16 Colgate Raiders women's basketball team	Patriot League	member of sports team
2015–16 Colgate Raiders women's basketball team	7–23	season record
2015–16 Colgate Raiders women's basketball team	4–14	league
2015–16 Colgate Raiders women's basketball team	tie for eighth place	finished in standings
2015–16 Colgate Raiders women's basketball team	quarterfinals of the Patriot League Women's Tournament	participant in tournament
Army	2015–16 Colgate Raiders women's basketball team in tournament	defeated opponent
Colgate Raiders women's ice hockey team	NCAA Division I ice hockey team	instance of
Colgate Raiders women's ice hockey team	Colgate University	member of
Colgate Raiders women's ice hockey team	ECAC Hockey	member of sports team
Colgate Raiders women's ice hockey team	Class of 1965 Arena	home arena
Weather Star XL	fifth generation of the WeatherStar systems	instance of
Weather Star XL	The Weather Channel (TWC)	developer
Weather Star XL	local forecasts and current weather information	purpose of
local forecasts and current weather information	"Local on the 8s" segments	is part of
Weather Star XL	1998	date of manufacture
Weather Star XL	a major update to the channel's on-air presentation	preceded by
The Star XL	Weather Star 4000 system	successor of
The Star XL	advanced capabilities	has feature
advanced capabilities	transitions	includes
advanced capabilities	moving icons	includes
advanced capabilities	cloud wallpaper backgrounds	includes
advanced capabilities	reading the local forecast contents	includes
The WeatherStar XL	beta roll-out on select cable systems	operating location
The WeatherStar XL	November 1998	launch date
The WeatherStar XL	The Weather Channel Latin America	widely used by
The Weather Channel Latin America	occurred	ends at
Chiller	American cable and satellite television channel	instance of
Chiller	NBCUniversal Cable Entertainment Group	subsidiary
NBCUniversal Cable Entertainment Group	Comcast	organization
Cable News Network (CNN)	American basic cable and satellite television news channel	instance of
Cable News Network (CNN)	Turner Broadcasting System	owner of
Turner Broadcasting System	Time Warner	is part of
Cable News Network (CNN)	1980	inception period
Cable News Network (CNN)	Ted Turner	founder of
Ted Turner	American media proprietor	instance of
Cable News Network (CNN)	24-hour cable news channel	instance of
Cable News Network (CNN)	the first television channel to provide 24-hour news coverage	notable
Cable News Network (CNN)	the first all-news television channel in the United States	notable
Independent Film Channel (IFC)	American cable and satellite television channel	instance of
Independent Film Channel (IFC)	AMC Networks	owner of
Independent Film Channel	original series	describes content
Independent Film Channel	acquired series	describes content
Independent Film Channel	fan favorite films	describes content
The Weather Channel Latin America	website	instance of
The Weather Channel Latin America	cable and satellite channel	was formerly
The Weather Channel Latin America	The Weather Channel	is based on
The Weather Channel Latin America	1996	inception
The Weather Channel Latin America	Mexico	part of the military operation
The Weather Channel Latin America	Colombia	part of the military operation
The Weather Channel Latin America	Argentina	part of the military operation
The Weather Channel Latin America	Brazil	part of the military operation
Portuguese language version for Brazil	1998	inception
The Weather Channel Latin America	Atlanta	headquarters location
Gordonia	flowering plant genus	instance of
Gordonia	Theaceae	family
Gordonia	Franklinia	included in taxon
Gordonia	Camellia	included in taxon
Gordonia	Stewartia	included in taxon
Gordonia	Southeast Asia	native range
Gordonia	Southern China	native range
Gordonia	Taiwan	native range
Gordonia	Indochina	native range
Gordonia lasianthus	Southeast North America	native range
Gordonia lasianthus	Virginia	native range
Gordonia lasianthus	Florida	native range
Gordonia lasianthus	Louisiana	native range
Gordonia fruticosa	tropical rainforests of Central and South America	native range
Gordonia fruticosa	Costa Rica	native range
G. fruticosa	Brazil	native of
Gondysia similis	moth of the Noctuidae family	instance of
Gondysia similis	Dysgonia similis	replaces
Gondysia similis	North America	habitat
Gondysia similis	North Carolina	habitat
Gondysia similis	Mississippi	habitat
Gondysia similis	Florida	habitat
Alabama	Food plant of Gondysia similis	provided food for
Mississippi	Food plant of Gondysia similis	provided food for
Gordonia lasianthus	loblolly-bay	known as
Gordonia lasianthus	holly-bay	known as
Gordonia lasianthus	gordonia	known as
Gordonia lasianthus	bay	known as
Gordonia lasianthus	small to medium-sized evergreen tree or shrub	is a description of
Gordonia lasianthus	Atlantic Coastal Plains of the southeastern United States	habitat
Gordonia lasianthus	Gulf Coastal Plains of the southeastern United States	part of the administrative territorial entity
Gordonia lasianthus	Tea family	instance of
Gordonia lasianthus	Theaceae family	instance of
Gordonia lasianthus	slow growing	characteristic
Gordonia lasianthus	fine-grained wood	property
Wood of Gordonia lasianthus	little commercial value	property
Loblolly-bay	pulpwood	is sourced from
Wood of older specimens of Gordonia lasianthus	a strong scent	attempts to carry out
Scent from wood of older specimens of Gordonia lasianthus	similar to a mixture of fresh oranges and pine sap	property
The Curse of Singapore Sling	studio album	instance of
Singapore Sling	The Curse of Singapore Sling	creator of
The Curse of Singapore Sling	The Curse Of	alternative name
The Curse of Singapore Sling	August 2002	date of publication
The Curse of Singapore Sling	Hitt	publisher
Swampscott Fish House	historic fishing supply storage house	instance of
Swampscott Fish House	oldest active fish house in the country	status
Hurricane glass	drinking glass	instance of
Hurricane glass	20 fluid ounces (600 ml)	capacity
Hurricane glass	mixed drinks	traditionally served with
Hurricane glass	Hurricane	traditionally served with
Hurricane	Pat O'Brien's Bar in New Orleans	location of origin
Hurricane glass	Singapore Sling	traditionally served with
Hurricane glass	June bug	traditionally served with
Hurricane glass	Piña colada	traditionally served with
Hurricane glass	vase	form
Hurricane glass	hurricane lamp	form
Hurricane glass	taller than a highball glass	dimension
Hurricane glass	wider than a highball glass	dimension
Singapore Sling (1993 film)	1993 Australian television movie	instance of
Singapore Sling (1993 film)	private eye in Singapore	subject is
Singapore Sling (1993 film)	series of TV movies	preceded by
Hamilton Fish House	Stuyvesant Fish House	alternative name
Hamilton Fish House	Nicholas and Elizabeth Stuyvesant Fish House	alternative name
Hamilton Fish House	Hamilton Fish (1808-1893)	place of birth
Hamilton Fish House	Hamilton Fish (1808-1893)	residence
Hamilton Fish (1808-1893)	Governor of New York	position held from
Hamilton Fish (1808-1893)	Senator of New York	position held from
Hamilton Fish House	from 1808 to 1838	operating period
Hamilton Fish House	21 Stuyvesant Street	located on street or area
21 Stuyvesant Street	diagonal street within the Manhattan street grid	instance of
21 Stuyvesant Street	East 9th Street and East 10th Street	located between
21 Stuyvesant Street	East Village neighborhood of New York City	part of the administrative territorial entity
Hamilton Fish House	Cooper Union	owner of
Hamilton Fish House	a residence for the college's president	purpose of
Fish House Punch	rum	ingredient
Fish House Punch	cognac	ingredient
Fish House Punch	peach brandy	ingredient
Fish House Punch	typically served over an ice block in a punch bowl	traditionally served with
Eli Roth	Eli Raphael Roth	known as
Eli Roth	American film director	instance of
Eli Roth	American film producer	instance of
Eli Roth	American writer	instance of
Eli Roth	American actor	instance of
Eli Roth	horror genre	is associated with
Hostel (2005 film)	Eli Roth	director
Hostel: Part II	Eli Roth	director
Eli Roth	Donny "The Bear Jew" Donowitz	notable role
Donny "The Bear Jew" Donowitz	Inglourious Basterds	cast member
Inglourious Basterds	war film	instance of
Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture	Eli Roth	award given to
Broadcast Film Critics Association Award for Best Ensemble	Eli Roth	award given to
Splat Pack	Eli Roth	group member
Splat Pack	explicitly violent and bloody horror films	known for work
Eli Roth	Visionary Award	award received during
Visionary Award	Stanley Film Festival	was present at
Visionary Award	2013	date
Eli Roth	Knock Knock	director
Eli Roth	Death Wish	director
Death Wish	Death Wish (1974 film)	derivative work from
Howard Drossin	American composer	instance of
The Man with the Iron Fists	RZA	composer
The Man with the Iron Fists	Universal Pictures	role in production
The Man with the Iron Fists	Russell Crowe	cast member
The Man with the Iron Fists	Lucy Liu	cast member
Howard Drossin	award-winning video game titles	contributor to
Howard Drossin	Super Bowl commercial	contributor to
Howard Drossin	Herbie Hancock	collaborator
Howard Drossin	Terence Blanchard	collaborator
Rod Stewart	Howard Drossin	contributor to
The Black Keys	Howard Drossin	contributor to
Beyoncé Knowles	Howard Drossin	contributor to
James Baxter the Horse	episode of television series	instance of
Adventure Time	James Baxter the Horse	episode
James Baxter the Horse	Pendleton Ward	writer
James Baxter the Horse	Somvilay Xayaphone	writer
James Baxter the Horse	Patrick McHale	story editor
James Baxter the Horse	Kent Osborne	story editor
James Baxter the Horse	Pendleton Ward	story editor
James Baxter the Horse	Cartoon Network	network
James Baxter the Horse	James Baxter	guest appearance
James Baxter the Horse	James Baxter	character role
James Jinkins	1953	date of birth
James Jinkins	American animator	occupation
James Jinkins	Doug (animated television series)	creator of
Doug (animated television series)	feature film	basis of
James Jinkins	PB&J Otter	creator of
Jumbo Pictures	James Jinkins	executive producer
Cartoon Pizza	James Jinkins	executive producer
Andrew Overtoom	American animation director	occupation
Andrew Overtoom	American writer	occupation
Andrew Overtoom	American photographer/cinematographer	occupation
Billy Dilley	Andrew Overtoom	creator of
Billy Dilley	Andrew Overtoom	writer
Billy Dilley	Andrew Overtoom	supervisor
Billy Dilley	Aaron Springer	creator of
Billy Dilley	Clayton Morrow	executive producer
SpongeBob SquarePants	Andrew Overtoom	contributor to
Emmy Awards in 2004	Andrew Overtoom	award received during
Emmy Awards in 2007	Andrew Overtoom	award received during
Emmy Awards in 2011	Andrew Overtoom	award received during
My Life with Morrissey	Andrew Overtoom	director
My Life with Morrissey	Andrew Overtoom	author of work
My Life with Morrissey	Andrew Overtoom	director
My Life with Morrissey	Andrew Overtoom	director of film
My Life with Morrissey	MVD	supplier
Jeff "Swampy" Marsh	American animator	occupation
Jeff "Swampy" Marsh	American writer	occupation
Jeff "Swampy" Marsh	American director	occupation
Jeff "Swampy" Marsh	American producer	occupation
Jeff "Swampy" Marsh	American voice actor	occupation
West Alabama Tigers football program	intercollegiate American football team	instance of
West Alabama Tigers football program	University of West Alabama	affiliate of
University of West Alabama	U.S. state of Alabama	part of the administrative territorial entity
West Alabama Tigers football team	NCAA Division II	participated in sporting event
West Alabama Tigers football team	Gulf South Conference	member of sports team
West Alabama's first football team	1938	date of publication
West Alabama Tigers	Brett Gilliland	coach in league
1911 Alabama Crimson Tide football team	University of Alabama	affiliate of
1911 Alabama Crimson Tide football team	1911 college football season	season of sports season
1911 Alabama Crimson Tide football team	19th overall season	season number
1911 Alabama Crimson Tide football team	16th season as member of Southern Intercollegiate Athletic Association	season number
1911 Alabama Crimson Tide football team	D. V. Graves	coach in league
D. V. Graves	first year as head coach	start time
1911 Alabama Crimson Tide football team	University of Alabama Quad	home venue
University of Alabama Quad	Tuscaloosa	part of the administrative territorial entity
1911 Alabama Crimson Tide football team	Birmingham Fairgrounds	sports venue
1911 Alabama Crimson Tide football team	2–2–2 in the SIAA	win-loss record
1899 Connecticut Aggies football team	Connecticut Agricultural College	instance of
Connecticut Agricultural College	University of Connecticut	replaces
1899 Connecticut Aggies football team	1899 college football season	participated in
1899 Connecticut Aggies football team	fourth year school fielded a football team	instance of
1899 Connecticut Aggies football team	T. D. Knowles	head coach
1899 Connecticut Aggies football team	6–2	win-loss record
1905 Alabama Crimson White football team	University of Alabama	instance of
1905 Alabama Crimson White football team	1905 Southern Intercollegiate Athletic Association football season	participated in
1905 Alabama Crimson White football team	13th overall season	instance of
1905 Alabama Crimson White football team	10th season as member of Southern Intercollegiate Athletic Association	instance of
1905 Alabama Crimson White football team	Jack Leavenworth	head coach
Jack Leavenworth	first year as head coach	instance of
1905 Alabama Crimson White football team	University of Alabama Quad	sports venue
1905 Alabama Crimson White football team	Birmingham Fairgrounds	home venue
Samuel Bell	American politician	occupation
Samuel Bell	lawyer	occupation
Samuel Bell	14th Governor of New Hampshire	position held from
14th Governor of New Hampshire	1819 to 1823	term of office
Samuel Bell	United States Senator for New Hampshire	position held from
United States Senator for New Hampshire	1823 to 1835	term of office
Samuel Bell	Londonderry in the Province of New Hampshire	place of birth
Samuel Bell	lawyer	occupation
Samuel Bell	1790s	start time
Samuel Bell	member of the New Hampshire House of Representatives	position held from
member of the New Hampshire House of Representatives	1804	start time
member of the New Hampshire House of Representatives	1806	end of appearance
Samuel Bell	head of a bank	occupation
bank headed by Samuel Bell	only New Hampshire bank to fail between 1792 and 1840	notable
Samuel Bell	member of the New Hampshire Senate	position held from
Samuel Bell	1807 to 1809	term of office
Samuel Bell	associate justice of the New Hampshire Supreme Court	position held from
Samuel Bell	1816 to 1819	term of office
Samuel Bell	Governor of New Hampshire	position held from
Governor of New Hampshire	1819	election year
Samuel Bell	Democratic-Republican	political party leader
Governor of New Hampshire	1820	election year
Governor of New Hampshire	1821	election year
Governor of New Hampshire	1822	election year
Samuel Bell's 1822 gubernatorial election victory	largest share of votes cast for a governor candidate of New Hampshire since John Taylor Gilman's victory in 1795	vote share
Crime rate in New Hampshire	fell whilst Samuel Bell was Governor	term of office
Samuel Bell	1823	lost election in
Samuel Bell	Senator for New Hampshire	position held from
Senator for New Hampshire	1829	election year
Samuel Bell	United States Senate Committee on Claims	chairperson
Samuel Bell	1835	ends at
Samuel Bell	retired from public life	career
Samuel Bell	80	older than
John Hoeven	John Henry Hoeven III	full name of
Henk Buck	Dordrecht	place of birth
Henk Buck	1930	date of birth
Henk Buck	organic chemist	field of work
Henk Buck	Leiden University	educated at
Henk Buck	1959	date of doctoral degree
Henk Buck	Theoretical Organic Chemistry	position held from
University	Henk Buck	position held from
Henk Buck	1964	year of
Henk Buck	Golden Medal of the Royal Netherlands Chemical Society	award received during
Henk Buck	1967	year of award
Henk Buck	Physical Organic Chemistry and Organic Chemistry	field of work
Henk Buck	1970	date of appointment
Henk Buck	Eindhoven University of Technology	employer
Henk Buck	organic chemistry	field of work
Henk Buck	physical organic chemistry	field of work
Henk Buck	theoretical organic chemistry	taught
Henk Buck	biochemistry	taught
Henk Buck	biotechnology	taught
Chemical Faculty	Henk Buck	former dean of
Henk Buck	1988-1991	term of office
Henk Buck	Royal Netherlands Academy of Arts and Sciences	taught
Henk Buck	1979	membership requirement
Henk Buck	more than 300 scientific papers	publication frequency
Henk Buck	43 chemical engineers obtaining their PhD	number of students
Henk Buck's career	prematurely ended	status
Henk Buck's career end	publication in Science in 1990	cause of
publication in Science in 1990	retracted	status
publication in Science in 1990	flawed research	reason for cancellation of
George Wallace Kenner	16 November 1922	date of birth
George Wallace Kenner	26 June 1978	date of death
George Wallace Kenner	British organic chemist	occupation
George Wallace Kenner	Sheffield	place of birth
George Wallace Kenner	1922	date of birth
George Wallace Kenner	Prof. James Kenner	child
George Wallace Kenner	Didsbury Preparatory School	educated at
George Wallace Kenner	Manchester Grammar School	educated at
George Wallace Kenner	first Heath Harrison Chair of Organic Chemistry	position held from
first Heath Harrison Chair of Organic Chemistry	University of Liverpool	is part of
George Wallace Kenner	1957–1976	term of office
George Wallace Kenner	Lord Todd	student
Lord Todd	Manchester University	educated at
Lord Todd	Cambridge University	educated at
Manchester University	UK	country
Right Whale Bay	bay	instance of
Right Whale Bay	1.5 miles (2.4 km)	maximum size
Right Whale Bay	Craigie Point	is part of
Right Whale Bay	Nameless Point	is part of
Right Whale Bay	north coast of South Georgia	is located on
Right Whale Bay	at least 1922	earliest date
Right Whale Bay	well established	status
right whale	whale	instance of
right whale	this area	distribution location
South Georgia	whaling	notable
Right Whale Bay	Morsa Bay	located in front of
Ernesto Pass	Right Whale Bay	not linked to
pygmy right whale	cetotheres	instance of
cetotheres	baleen whales	instance of
cetotheres	thought to be extinct until 2012	extinction date
Caperea marginata	Neobalaenidae	taxonomic status
Pygmy right whale	John Edward Gray	discoverer or founder
Pygmy right whale	1846	date of first designation
Pygmy right whale	Baleen whales	family
Pygmy right whale	6 and 6.5 meters	range extends to
Pygmy right whale	3000 and 3500 kilograms	mass
Pygmy right whale	Gray whale and rorquals	taxonomic relation
Pygmy right whale	Bowhead whale and right whales	taxonomic relation
Right whales	three species of large baleen whales	is a description of
Right whales	Eubalaena	taxonomic status
Right whales	North Atlantic right whale	member of
Right whales	North Pacific right whale	member of
Right whales	Southern right whale	member of
Right whales	Balaenidae	family
Right whales	Bowhead whale	closely related to
Right whales	rotund bodies	characteristic
Right whales	arching rostrums	characteristic
Right whales	V-shaped blowholes	characteristic
Right whales	dark gray or black skin	characteristic
Right whales	rough patches of skin on its head	has feature
rough patches of skin on its head	white	color
white appearance	parasitism by whale lice	is caused by
Right whales	more than 18 m long	maximum size
Right whales	19.8 m	record
Right whales	100 ST or more	mass
Right whales	20.7 m	record
Right whales	135000 kg	mass
Right whales	21.3 m	record
Right whales	significantly larger than other coastal species	characteristic
humpbacks	other coastal species	not included on
grays	other coastal species	includes
Ine	King of Wessex	position held from
Ine	688	start time
Ine	726	end of appearance
Ine	Cædwalla	acquired land for
Cædwalla	much of southern England	lost control of
Cædwalla	West Saxon territory substantially	expanded from
Kent	West Saxon domination	established under
Sussex	West Saxon domination	established under
Essex	West Saxon domination	established under
Ine	Hampshire	lost control of
Ine	Wessex's territory in the western peninsula	merger of
Odda	Oddune	known as
Odda	ealdorman of Devon	position held from
Odda	victory at the Battle of Cynwit	known for work
victory at the Battle of Cynwit	878	date
Viking army	Odda's West Saxon forces	participant
Viking army	Ubba	leader of
Ubba	Ivar the Boneless	sibling
Ubba	Halfdan Ragnarsson	sibling
The Dialect Test	A.J. Ellis	creator of
The Dialect Test	February 1879	date of publication
The Dialect Test	fieldwork for "On Early English Pronunciation"	is used for
The Dialect Test	one of the earliest methods of identifying vowel sounds and features of speech	is a description of
The aim of The Dialect Test	main vowel sounds of an individual dialect	captured
The Dialect Test	categories of West Saxon words and vowels	features
Bagsecg	Bægsecg	alternative name
Bagsecg	Bagsec	alternative name
Bagsecg	8 January 871	date of death
Bagsecg	Viking leader	instance of
Bagsecg	king	title taken from
The Great Summer Army	Bagsecg	leader of
The Great Summer Army	870 or 871	date of battle
Bagsecg's forces	Great Danish Army	merged from
Great Danish Army	much of England	conquered territory
Bagsecg	joint invasion of the Kingdom of Wessex	leader of
Bagsecg	Halfdan Ragnarsson	subordinate
Battle of Ashdown	Bagsecg	participant
Battle of Ashdown	West Saxon Army	fought
West Saxon Army	King Ethelred	leader of
West Saxon Army	Alfred the Great	leader of
Alfred the Great	King Ethelred	sibling
The Russian Civil War	Гражда́нская война́ в Росси́и	name in Russian
The Russian Civil War	Grazhdanskaya voyna v Rossiyi	name in Russian
The Russian Civil War	November 1917	date of start
The Russian Civil War	October 1922	end date of
The Russian Civil War	multi-party war	instance of
Antony John Sainsbury	chef de mission of the British Paralympic team at five Paralympic Games	role
Antony John Sainsbury	chef de mission of the Independent Paralympic Athletes Team at the 2016 Summer Paralympics	role
Jana Gantnerová-Šoltýsová	30 September 1959	date of birth
Jana Gantnerová-Šoltýsová	Kežmarok	place of birth
Jana Gantnerová-Šoltýsová	Slovak former alpine skier	instance of
Jana Gantnerová-Šoltýsová	Czechoslovakia	country represented
Jana Gantnerová-Šoltýsová	1976 Winter Olympics	competed in
Jana Gantnerová-Šoltýsová	1980 Winter Olympics	competed in
Jana Gantnerová-Šoltýsová	1984 Winter Olympics	competed in
Jana Gantnerová-Šoltýsová	an Alpine Skiing World Cup downhill in Altenmarkt in December 1980	won by
Jana Gantnerová-Šoltýsová	the first east European skier to win a World Cup race	achievement
Jana Gantnerová-Šoltýsová	a fifth place in the downhill in 1984	silver medal winner
Jana Gantnerová-Šoltýsová	president of the Slovak Skiing Association	position held from
Jana Gantnerová-Šoltýsová	member of the Slovak Olympic Committee Executive Board	position held from
Jana Gantnerová-Šoltýsová	member of the International Ski Federation Alpine Commission	position held from
Slovak team at the 2010 Winter Olympics	Jana Gantnerová-Šoltýsová	chef de mission
Jana Gantnerová	Jana Gantnerová-Šoltýsová	father
Australia	2012 Winter Youth Olympics in Innsbruck	participated in sporting event
Alisa Camplin	chef de mission of the team at the 2012 Winter Youth Olympics	chief executive officer
Alisa Camplin	former Olympic champion	occupation
Alisa Camplin	first woman to be chef de mission of any Australian Olympic team	distinction
Australian team at the 2012 Winter Youth Olympics	13 athletes in 8 sports	composed of
Canada	Canadian Olympic Committee (COC)	organization represented
Canadian team at the 2011 Pan American Games	492 athletes	fits description
492 athletes	256 men and 236 women	gender
492 athletes	the most ever for a non-home Games	attribute
Canadian team at the 2011 Pan American Games	all ten provinces and the Northwest Territories	bordering region
Wrestling	their strongest team	receive
Mehsampur	Jalandhar district	part of the administrative territorial entity
Mehsampur	Punjab	part of the administrative territorial entity
Mehsampur	India	located in
Mehsampur	Nakodar	location of settlement
Mehsampur	Phillaur	location of settlement
Mehsampur	Jalandhar	location of settlement
Mehsampur	Chandigarh	location of settlement
Mehsampur	sarpanch	has part of
sarpanch	elected representative of village as per Panchayati raj (India)	instance of
Coorong	South Australia	part of the administrative territorial entity
Coorong	lagoon known as the Coorong	features
lagoon known as the Coorong	south-east of South Australia	located in the administrative region
Coorong	continental coastline	is focused on
continental coastline	Murray River	mouth is at
mouth of the Murray River	Adelaide	located east of
town of Kingston SE	continental coastline	coastline
continental coastline	140 km	length
Akalpur	Phillaur tehsil	part of the administrative territorial entity
Akalpur	Jalandhar District	part of the administrative territorial entity
Akalpur	Punjab State	part of the administrative territorial entity
Akalpur	India	part of the administrative territorial entity
Akalpur	Phillaur	location of settlement
Akalpur	Jalandhar	location of settlement
Akalpur	Chandigarh	location of settlement
Phillaur	Phillaur	nearest international airport to Akalpur
Ludhiana	Ludhiana	nearest international airport to Akalpur
Amritsar	Amritsar	nearest international airport to Akalpur
Akalpur	Sarpanch	chief executive officer
Sarpanch	elected representative of village	instance of
Akalpur	Phillaur	post office location
Phillaur	Akalpur postal head office	distance from
Uppal Bhupa	Jalandhar district	part of the administrative territorial entity
Uppal Bhupa	Punjab State	part of the administrative territorial entity
Uppal Bhupa	India	located in
Uppal Bhupa	Nurmahal postal head office	distance from
Uppal Bhupa	Phillaur	distance from
Uppal Bhupa	Jalandhar	distance from
Uppal Bhupa	Chandigarh	distance from
Uppal Bhupa	sarpanch	chief executive officer
sarpanch	an elected representative of village as per Panchayati raj (India)	instance of
Abapura	Banswara district	part of the administrative territorial entity
Abapura	Rajasthan state	part of the administrative territorial entity
Abapura	India	located in
Abapura	Banswara Tehsil	part of the administrative territorial entity
Treaty of Accession 1994	agreement between the member states of the European Union and four countries	describes
Treaty of Accession 1994	accession of those four countries into the EU	concern
Treaty of Accession 1994	1 January 1995	setting date
Treaty of Accession 1994	earlier Treaties of the European Union	amended
Treaty of Accession 1994	constitutional basis of the European Union	is part of
